source,target,weight
Black,Male,26
Black,Male,21
White,Male,6
Black,Male,19
White,Male,15
Black,Male,7
Black,Male,26
White,Male,30
White,Male,1
White,Male,2
Black,Male,4
Black,Male,3
White,Male,14
White,Male,3
Black,Male,2
White,Male,7
Black,Male,8
Black,Male,32
Black,Male,23
Black,Male,28
White,Male,16
White,Male,11
Black,Male,43
Black,Male,15
Black,Male,49
Black,Male,17
Black,Male,18
Black,Female,5
White,Male,1
Black,Male,18
Black,Male,12
Black,Male,12
Hispanic,Male,11
Hispanic,Male,6
White,Female,24
White,Male,4
Black,Male,12
Hispanic,Male,21
Black,Male,22
Hispanic,Male,5
Black,Male,20
Black,Male,15
White,Male,5
White,Male,24
Black,Male,1
White,Male,12
White,Male,5
White,Male,11
Black,Male,1
Black,Male,7
Black,Female,2
Black,Male,5
Black,Male,18
White,Male,11
Hispanic,Male,2
White,Female,7
White,Male,9
White,Male,3
Black,Male,5
Black,Male,4
White,Male,8
Hispanic,Male,9
Hispanic,Male,0
Hispanic,Male,6
White,Male,3
Black,Male,5
White,Male,20
Hispanic,Male,1
White,Male,26
Hispanic,Male,11
Hispanic,Male,8
White,Male,0
White,Male,5
White,Male,25
White,Male,4
Black,Male,28
Hispanic,Male,2
Black,Male,17
White,Female,0
White,Male,13
White,Male,2
Hispanic,Male,22
Black,Male,21
Black,Female,11
White,Male,10
Hispanic,Male,2
Hispanic,Male,2
Hispanic,Male,19
White,Male,2
Black,Male,35
Black,Male,31
Black,Male,23
Black,Male,8
Black,Male,13
Black,Male,6
Black,Male,0
Black,Male,10
White,Male,4
White,Male,11
Black,Male,5
Hispanic,Male,1
White,Male,3
White,Female,6
White,Male,10
Black,Male,2
Black,Male,2
Hispanic,Male,8
Hispanic,Male,10
Hispanic,Male,20
Hispanic,Male,5
Black,Male,0
Hispanic,Male,9
Hispanic,Male,2
Hispanic,Male,6
Black,Male,8
White,Male,10
White,Male,16
Hispanic,Male,4
White,Male,1
White,Male,2
Black,Male,6
Black,Male,5
Hispanic,Male,0
Black,Male,8
Black,Male,5
White,Male,41
Black,Male,17
Black,Male,8
Black,Male,14
White,Male,32
Hispanic,Male,11
White,Male,1
Black,Male,14
White,Male,9
Black,Male,14
Black,Male,17
Black,Male,5
Black,Male,17
Black,Male,6
Black,Male,9
Black,Male,27
Black,Male,5
White,Female,0
Hispanic,Male,4
White,Male,0
Black,Male,40
Asian,Male,3
White,Male,4
White,Male,5
Black,Male,35
Asian,Male,7
Black,Male,7
White,Male,4
White,Male,14
White,Male,1
Asian,Female,9
White,Male,4
Black,Male,13
White,Female,5
White,Male,4
Black,Male,4
White,Male,1
White,Male,35
Black,Male,31
Hispanic,Male,10
White,Male,2
Black,Male,8
White,Male,24
Black,Male,5
White,Male,6
Black,Male,17
White,Male,23
Black,Male,16
White,Male,1
Black,Male,23
White,Male,18
Black,Male,36
Black,Male,2
Black,Male,11
Black,Male,15
Black,Male,16
White,Male,16
Black,Male,1
Black,Male,13
Black,Male,21
Black,Male,10
White,Male,18
Black,Male,9
Black,Male,7
Black,Male,8
White,Male,4
Black,Male,14
Black,Male,23
Black,Male,13
Black,Male,19
Black,Male,13
Black,Male,18
Black,Male,7
Black,Female,14
Black,Male,20
White,Male,37
Black,Female,18
Black,Male,15
Black,Female,0
Black,Male,0
Black,Female,0
Hispanic,Male,18
Hispanic,Male,29
White,Male,7
Black,Male,14
White,Male,11
Black,Male,38
Black,Male,17
White,Female,4
White,Male,7
Black,Male,18
Black,Male,15
Black,Male,10
Black,Male,22
Black,Male,3
Black,Male,3
Hispanic,Male,20
Black,Male,29
White,Male,11
White,Male,4
Black,Male,27
Black,Male,20
Black,Female,3
Black,Male,18
Black,Male,1
White,Female,6
White,Male,2
Native American,Male,4
Black,Male,5
Black,Male,10
Other,Male,2
Black,Male,7
Hispanic,Male,5
Black,Male,4
White,Male,15
Black,Male,15
Black,Male,16
Black,Male,1
Black,Male,19
Black,Male,10
Black,Male,29
White,Male,2
Black,Male,4
Black,Male,26
White,Male,18
Black,Male,16
White,Male,7
Black,Male,3
White,Male,18
Black,Male,6
White,Male,10
White,Male,2
White,Male,6
White,Male,4
White,Female,15
White,Male,27
Black,Male,1
Black,Female,4
Black,Male,20
Black,Male,5
Black,Male,12
White,Male,1
Black,Male,4
Black,Male,28
Black,Male,18
Black,Male,11
Black,Male,4
White,Male,10
White,Male,13
White,Female,9
Black,Male,8
Black,Male,2
Black,Male,5
White,Male,12
Black,Male,10
Black,Male,33
Black,Male,24
Native American,Female,18
Native American,Male,25
White,Male,7
Hispanic,Male,4
Hispanic,Male,0
Hispanic,Male,26
Hispanic,Male,14
Hispanic,Male,10
Hispanic,Male,2
White,Male,0
Hispanic,Male,5
Black,Male,4
White,Male,4
Black,Male,15
Black,Male,30
White,Female,3
White,Male,1
White,Male,5
Black,Male,16
Black,Female,12
Black,Male,9
Black,Male,1
Black,Male,5
Black,Male,1
Black,Male,13
White,Male,4
White,Male,6
White,Male,3
Black,Male,7
White,Male,15
Black,Male,9
White,Male,18
White,Male,9
Black,Male,2
White,Male,1
White,Male,23
White,Male,30
White,Male,19
Black,Male,38
Black,Male,7
White,Male,12
Black,Male,4
White,Male,5
Hispanic,Male,5
White,Female,1
Black,Male,24
Hispanic,Male,26
Black,Male,31
Black,Male,2
Black,Male,24
White,Male,1
Black,Male,17
Black,Male,0
White,Male,7
White,Male,8
Black,Male,7
White,Male,9
Black,Male,15
Black,Male,5
White,Male,5
Black,Male,17
Black,Male,6
Black,Male,0
White,Male,17
Black,Male,12
Black,Female,3
White,Male,15
White,Male,12
White,Female,3
Black,Male,24
White,Male,2
Black,Male,10
Black,Male,5
Black,Male,10
Black,Male,13
Black,Male,24
White,Male,0
Hispanic,Male,16
White,Male,20
Hispanic,Male,1
Other,Male,12
Black,Female,12
Black,Male,20
White,Male,0
White,Male,22
Other,Male,8
Black,Male,15
White,Male,0
White,Female,14
Hispanic,Male,25
Hispanic,Male,25
White,Female,17
Black,Male,10
Hispanic,Male,17
Black,Male,17
Black,Male,1
Black,Male,7
White,Male,2
White,Male,11
White,Female,14
Black,Male,28
Black,Male,23
White,Male,7
White,Male,16
Black,Male,5
White,Male,7
White,Male,16
Black,Male,14
White,Male,8
White,Male,36
Hispanic,Male,8
Hispanic,Male,25
Hispanic,Male,28
White,Male,1
Hispanic,Male,3
White,Male,17
White,Male,18
Black,Male,6
Black,Male,23
White,Female,6
White,Male,6
White,Male,27
White,Male,16
White,Male,14
White,Male,4
White,Male,19
Black,Male,30
Black,Male,12
Black,Male,16
Black,Male,1
Black,Male,10
Black,Male,1
Black,Male,24
Black,Male,5
Black,Male,10
Black,Male,26
Black,Male,15
Black,Male,13
White,Female,5
White,Male,5
Black,Male,2
White,Male,5
Hispanic,Male,17
Hispanic,Male,12
Hispanic,Male,0
Black,Male,31
Black,Male,24
White,Female,21
Black,Male,22
Black,Male,2
Black,Male,19
White,Male,10
Black,Male,13
Black,Male,14
White,Female,3
White,Male,2
White,Male,9
White,Female,3
White,Male,2
White,Male,6
Black,Male,14
White,Male,5
White,Male,35
Black,Male,24
Black,Male,1
White,Male,19
White,Male,26
Black,Male,18
White,Male,8
Hispanic,Male,23
Black,Male,36
Black,Female,2
Black,Male,34
Black,Male,11
White,Female,6
White,Male,10
Black,Male,31
Black,Male,16
Black,Male,1
White,Male,4
White,Male,8
Black,Male,27
Black,Male,3
Black,Male,26
White,Male,2
Black,Male,2
White,Male,1
White,Female,5
White,Male,0
White,Male,23
White,Male,24
Black,Male,0
White,Male,30
Hispanic,Male,19
Black,Male,15
White,Male,4
White,Female,12
Black,Male,13
Black,Male,16
Black,Male,13
White,Male,1
White,Female,7
Hispanic,Male,13
Hispanic,Female,21
White,Male,6
Black,Male,26
White,Male,25
Black,Male,2
Black,Male,1
Black,Male,5
Black,Male,2
Black,Male,23
White,Male,5
Other,Male,1
White,Female,1
Black,Male,4
Black,Male,7
Native American,Male,20
White,Female,1
White,Male,19
White,Male,14
White,Male,4
Hispanic,Female,2
Black,Male,19
Black,Male,9
Black,Male,40
Black,Male,17
Black,Male,3
Hispanic,Male,14
Hispanic,Male,3
Hispanic,Male,0
White,Female,3
White,Male,3
Black,Male,25
Black,Male,22
Black,Male,27
White,Male,4
White,Female,4
White,Male,4
Black,Male,14
Black,Male,19
Black,Male,10
Black,Male,4
White,Male,18
Black,Male,13
White,Male,21
White,Male,2
White,Male,7
White,Male,1
Black,Male,16
White,Male,21
White,Male,3
White,Male,1
Black,Male,23
Black,Male,2
Black,Male,13
Black,Male,25
Black,Male,16
Black,Male,6
White,Male,26
Black,Male,11
Black,Male,15
Black,Female,7
White,Male,8
Hispanic,Male,23
White,Male,14
White,Male,2
Black,Male,14
Black,Male,23
Hispanic,Female,7
Hispanic,Male,18
White,Male,6
Black,Male,4
Black,Male,43
White,Male,3
Black,Female,18
Black,Male,15
White,Male,2
White,Male,1
White,Male,2
Black,Male,20
Black,Male,37
Black,Male,24
Black,Male,15
Hispanic,Male,5
Hispanic,Male,0
Hispanic,Male,32
Hispanic,Male,11
Black,Male,6
Black,Male,23
Black,Female,0
White,Male,36
White,Male,33
White,Male,12
White,Male,2
White,Male,8
Black,Male,37
Black,Male,30
Black,Male,11
White,Male,6
White,Female,6
White,Male,6
Black,Male,14
White,Male,1
Black,Male,17
Black,Male,6
Black,Male,8
Black,Male,3
White,Male,7
White,Male,5
Black,Male,29
Black,Female,1
White,Male,21
White,Male,6
White,Male,5
Black,Male,1
Black,Male,6
Black,Female,2
Native American,Male,16
White,Male,19
White,Male,11
White,Female,2
Black,Male,3
Black,Female,3
White,Male,7
Hispanic,Male,0
Black,Male,25
Black,Male,3
Black,Male,20
Black,Male,13
Hispanic,Male,0
Black,Male,1
Black,Male,26
White,Male,2
White,Male,7
White,Male,7
Black,Male,17
Black,Male,17
Black,Male,7
Black,Male,1
White,Female,1
Hispanic,Male,3
White,Male,0
Black,Male,9
Hispanic,Male,33
Black,Male,30
Black,Male,14
Hispanic,Male,0
Black,Male,6
Hispanic,Male,14
Hispanic,Male,3
Hispanic,Male,6
Hispanic,Male,2
Hispanic,Male,3
White,Male,26
Black,Male,26
Black,Male,19
White,Male,0
White,Male,8
Black,Male,2
Black,Male,3
Black,Male,4
White,Male,29
White,Male,18
Hispanic,Male,21
Hispanic,Male,7
Hispanic,Male,13
White,Male,0
White,Male,9
White,Male,4
Black,Male,9
Black,Male,27
Black,Male,0
Black,Male,21
Black,Female,18
Black,Male,52
White,Male,3
White,Male,5
White,Female,2
Black,Male,17
White,Male,26
White,Male,2
Black,Male,18
Hispanic,Male,2
White,Male,22
White,Male,6
White,Male,5
Black,Male,3
White,Male,1
White,Male,7
Native American,Male,8
White,Male,5
White,Male,17
Black,Male,10
White,Male,3
Black,Male,28
Black,Male,3
Black,Male,25
Black,Male,24
Black,Male,18
Black,Male,27
White,Male,26
White,Male,3
Black,Male,16
Black,Male,10
White,Male,9
White,Male,2
Black,Male,12
White,Male,2
Black,Female,3
Black,Female,10
Black,Male,1
Black,Male,24
Black,Male,15
Black,Male,12
Black,Male,20
White,Male,3
White,Male,22
White,Male,15
Black,Male,13
White,Male,3
White,Female,2
White,Male,2
White,Male,1
White,Male,24
Hispanic,Male,14
Hispanic,Male,3
Hispanic,Male,20
White,Male,17
White,Female,4
Hispanic,Male,21
Hispanic,Male,30
Hispanic,Male,20
Hispanic,Male,1
Hispanic,Male,2
Hispanic,Male,7
Hispanic,Male,3
Hispanic,Male,2
Hispanic,Male,6
Hispanic,Female,20
Hispanic,Male,28
White,Male,20
White,Male,18
Black,Male,13
Black,Male,1
Black,Male,17
White,Male,7
Black,Male,11
Black,Male,6
Black,Female,16
White,Male,7
Black,Male,17
Black,Male,11
White,Female,5
White,Male,3
White,Male,13
White,Male,11
Black,Male,2
Hispanic,Male,4
Hispanic,Male,6
White,Female,1
Black,Male,5
White,Male,5
Black,Male,12
Black,Male,9
Black,Male,6
Black,Male,16
White,Male,21
Black,Male,8
Black,Male,21
Black,Female,24
White,Male,8
Black,Male,3
White,Male,33
Black,Male,13
Black,Female,1
White,Female,4
Black,Male,1
Black,Male,6
Black,Male,2
Black,Male,7
White,Male,16
Black,Male,1
Black,Male,27
Black,Male,24
Black,Male,21
Black,Male,3
White,Male,18
Native American,Male,0
Native American,Male,1
Black,Male,7
Black,Female,17
White,Male,3
Black,Male,3
White,Male,4
Black,Male,25
White,Male,14
Black,Male,9
Black,Male,4
Black,Male,24
White,Male,9
White,Male,10
Black,Male,2
White,Male,3
White,Female,4
Hispanic,Male,6
Hispanic,Male,3
Asian,Male,5
Hispanic,Male,2
Hispanic,Female,1
White,Male,8
Black,Male,11
Black,Male,22
White,Male,2
Hispanic,Male,26
Hispanic,Male,5
Hispanic,Female,0
White,Male,28
Black,Male,22
White,Male,2
Black,Male,6
Black,Male,2
Black,Male,2
White,Female,4
Black,Male,33
White,Male,3
Black,Male,36
Black,Male,16
White,Male,3
Black,Male,14
Black,Male,4
White,Female,4
Black,Male,3
White,Female,4
White,Male,18
Black,Male,19
White,Male,19
Black,Male,23
Black,Male,25
Black,Female,9
Hispanic,Male,4
White,Male,6
Black,Male,29
White,Male,3
White,Male,7
Black,Male,0
White,Male,35
Other,Male,1
Black,Male,2
White,Female,0
White,Male,5
White,Male,8
Black,Male,16
White,Male,23
Black,Male,8
Black,Male,8
Black,Male,26
White,Male,10
Black,Male,10
White,Male,33
White,Male,20
Black,Male,5
Black,Male,5
White,Male,3
Black,Male,24
Black,Male,17
Black,Male,25
Black,Male,1
Black,Male,13
White,Male,9
Black,Male,4
Black,Male,13
Black,Male,7
Black,Male,14
Black,Male,8
Black,Male,6
Black,Male,11
Black,Male,24
Black,Male,33
White,Female,1
Black,Male,15
Black,Female,8
White,Male,2
Black,Male,11
Black,Male,13
Black,Male,8
Black,Male,17
Black,Male,13
White,Male,2
White,Male,1
White,Male,11
White,Male,13
Black,Male,12
White,Male,33
White,Male,11
Black,Male,34
Black,Male,24
Black,Male,10
White,Male,8
White,Male,12
White,Male,29
Asian,Male,14
White,Female,3
Black,Male,6
Black,Male,14
Black,Male,9
Black,Male,9
Black,Male,15
Black,Male,19
Black,Male,27
White,Male,14
Black,Male,17
White,Male,3
Black,Male,15
Black,Male,2
White,Male,2
White,Male,5
White,Male,2
White,Male,2
White,Male,11
White,Male,13
White,Male,15
Black,Male,3
Black,Male,25
Black,Male,12
Black,Male,2
Black,Male,1
Black,Male,14
Black,Male,4
White,Male,31
Black,Male,14
Black,Male,12
Black,Male,3
Black,Male,22
Hispanic,Male,10
Hispanic,Male,12
Hispanic,Male,11
Hispanic,Male,1
Hispanic,Male,3
Hispanic,Male,21
Hispanic,Male,2
Hispanic,Female,10
Hispanic,Male,3
Hispanic,Male,7
Hispanic,Male,23
Hispanic,Male,2
Hispanic,Male,1
Hispanic,Male,7
Hispanic,Male,2
Black,Male,14
White,Male,2
Black,Male,58
Black,Male,1
Black,Male,6
Black,Male,11
Black,Male,9
Black,Male,18
Black,Male,14
Hispanic,Male,13
White,Male,25
White,Male,25
White,Male,5
Black,Male,13
Black,Male,4
Black,Male,11
Black,Male,27
Black,Male,4
Black,Male,10
Black,Male,6
Black,Male,26
Black,Male,9
Black,Male,15
Hispanic,Male,26
Black,Female,2
Black,Male,29
Black,Male,13
Black,Male,13
Black,Male,13
White,Female,5
Black,Male,13
White,Male,2
White,Female,5
Black,Male,2
White,Male,2
Black,Male,11
Black,Male,2
Black,Male,18
White,Male,16
White,Male,3
White,Male,16
White,Male,6
White,Male,11
Black,Male,6
Black,Male,8
Black,Male,26
Black,Male,23
White,Male,9
Black,Male,13
Black,Male,15
Black,Male,5
Black,Male,1
White,Male,12
Black,Male,17
White,Male,9
Black,Male,19
Black,Male,2
White,Female,18
White,Male,9
Black,Male,3
Black,Male,15
Black,Male,31
Black,Male,18
White,Male,1
White,Male,7
White,Female,1
Black,Male,22
White,Male,6
White,Male,23
Black,Male,7
White,Male,17
Black,Male,18
Black,Male,5
Black,Male,25
Black,Male,14
Black,Male,21
Black,Male,10
Black,Male,27
Black,Male,24
Black,Male,16
Black,Male,26
White,Female,10
Black,Male,21
Black,Male,26
White,Male,42
Black,Male,9
Black,Female,0
White,Male,3
White,Male,0
Black,Male,10
Black,Male,19
White,Male,5
Black,Male,0
Black,Male,8
Black,Female,7
White,Male,0
Black,Male,16
White,Male,18
White,Male,1
White,Male,20
White,Male,3
Hispanic,Male,25
Black,Male,2
Black,Male,14
Black,Male,20
Black,Male,1
White,Male,20
Hispanic,Male,1
Black,Male,26
Black,Male,22
Black,Male,16
Black,Male,1
Black,Male,12
Other,Male,3
Native American,Male,20
White,Male,30
Black,Male,55
Hispanic,Male,0
Black,Male,16
Hispanic,Male,11
Black,Male,11
Black,Male,28
Black,Male,3
Black,Male,8
Black,Male,8
Black,Male,20
Black,Male,5
Black,Male,21
Black,Male,1
Black,Male,18
Don't Know,Female,1
Black,Male,28
Black,Male,5
Black,Male,2
Black,Male,39
Black,Male,1
Black,Male,17
Black,Male,14
Black,Male,40
White,Male,2
Black,Female,7
White,Male,31
White,Male,39
White,Male,6
Hispanic,Male,32
Black,Male,25
Native American,Female,4
Black,Male,26
Black,Male,29
Black,Male,2
Black,Male,2
Black,Male,13
Black,Male,11
Black,Male,31
Black,Male,1
Black,Male,20
Other,Male,19
White,Male,11
Black,Male,9
Black,Male,7
White,Male,26
Black,Male,12
Black,Male,12
Black,Male,4
White,Male,26
Black,Female,4
White,Male,23
Black,Male,16
Black,Male,26
White,Male,9
White,Male,8
Hispanic,Female,7
Hispanic,Male,25
Hispanic,Male,15
Black,Female,28
Black,Male,11
White,Male,2
Black,Male,10
Black,Male,24
Black,Male,24
Black,Male,7
Black,Male,1
Black,Male,13
Black,Male,15
Black,Male,8
Black,Male,9
Black,Male,19
Black,Male,1
Black,Male,27
Black,Male,17
Black,Male,4
Black,Male,6
Black,Male,2
Black,Male,20
Black,Male,22
Black,Male,29
Black,Male,5
Black,Male,12
Black,Male,16
Black,Male,13
Black,Male,18
Black,Male,13
Black,Male,12
Black,Male,28
Black,Male,18
Black,Male,9
Black,Female,7
Black,Male,13
Black,Male,5
White,Male,6
Black,Male,3
Black,Male,10
Black,Male,4
Black,Male,25
Don't Know,Male,12
Black,Male,23
Black,Male,14
Black,Female,6
Black,Male,18
Other,Female,2
Black,Male,17
Black,Male,29
Black,Female,13
Black,Male,11
Black,Male,16
White,Male,6
Black,Male,2
Black,Male,22
White,Female,2
Black,Male,14
Black,Male,35
Black,Male,33
Black,Male,9
Black,Male,0
Black,Male,4
White,Male,19
Black,Male,8
White,Male,1
Black,Male,1
Black,Male,7
Black,Male,6
Don't Know,Male,1
Black,Male,18
Black,Male,17
Black,Male,15
Black,Male,5
Black,Female,6
White,Male,26
Black,Male,6
Black,Male,6
Black,Male,23
Black,Male,46
Black,Male,3
Black,Male,16
Black,Male,21
Black,Male,10
Black,Male,12
Black,Male,14
Black,Male,11
Black,Male,10
Black,Male,45
Black,Male,4
Black,Male,4
Black,Male,3
White,Male,13
Black,Female,1
Black,Female,0
Black,Male,6
Hispanic,Male,4
Black,Female,0
White,Male,3
White,Male,7
Black,Male,26
Black,Male,10
White,Male,22
Asian,Male,8
Black,Female,2
White,Male,3
Black,Female,16
Asian,Male,4
Asian,Male,4
White,Male,4
White,Male,5
White,Male,25
White,Female,25
Black,Male,22
White,Male,5
Black,Female,3
White,Male,3
Black,Male,3
White,Male,3
White,Male,5
Black,Male,25
White,Male,10
White,Male,5
Black,Male,18
White,Male,15
Black,Male,8
White,Male,9
Black,Male,22
White,Male,2
Native American;#White,Female,16
White,Male,4
White,Male,5
Black,Male,3
Black,Male,22
Black,Male,15
White,Female,6
Black,Female,2
White,Male,8
White,Male,7
White,Male,3
Black,Male,19
Black,Male,5
White,Male,6
Black,Male,3
Black,Male,4
White,Male,5
White,Male,23
White,Male,23
Black,Male,12
White,Male,3
White,Female,12
White,Male,12
Black,Male,11
Black,Male,25
White,Male,3
White,Male,19
White,Male,3
White,Male,2
White,Male,13
White,Male,10
Other,Male,1
White,Male,21
White,Male,10
White,Male,4
White,Female,10
White,Male,4
White,Male,25
Black,Male,25
Black,Male,14
White,Female,9
White,Male,4
Black,Male,4
White,Male,3
Black,Male,26
Black,Male,11
White,Male,1
Black,Male,20
White,Male,21
Hispanic,Male,1
Black,Male,11
Black,Male,0
Black,Male,8
Hispanic,Male,3
White,Male,1
White,Male,44
White,Male,23
Hispanic,Male,3
White,Male,8
Black,Male,20
Black,Male,6
White,Male,15
White,Male,7
White,Male,4
White,Female,12
White,Male,12
White,Male,4
White,Male,16
Hispanic,Male,15
Black,Male,5
White,Male,23
Black,Male,3
Black,Male,6
White,Male,9
Black,Male,9
Black,Male,7
White,Male,16
Hispanic,Male,9
Black,Male,14
Black,Female,15
Hispanic,Male,2
White,Male,24
White,Female,7
White,Male,0
White,Male,4
Asian,Male,16
Asian,Male,25
White,Male,28
Asian,Male,3
Black,Male,22
Black,Male,3
White,Female,21
Black,Male,19
White,Male,1
White,Male,12
Black,Male,19
Hispanic,Male,15
Black,Male,5
White,Male,7
Hispanic,Male,1
White,Male,1
Black,Male,27
Black,Male,1
White,Male,16
Black,Male,9
White,Male,1
White,Female,2
Black,Male,3
White,Male,5
Black,Male,14
Black,Male,17
Black,Male,3
White,Female,2
Black,Male,12
Black,Male,7
Black,Male,3
Black,Male,3
Black,Male,20
